FoldNumber,PredictedOutput,ActualOutput,Confidence
1,1,0,0.860153753569
5,1,0,0.891872722727
4,1,0,0.997906828219
5,1,0,0.8072146259
3,1,0,0.874381957588
2,0,0,0.425330457507
2,0,0,0.39061715687
4,1,0,0.988348773774
2,1,0,0.91763774497
3,1,0,0.776744661632
3,0,0,0.0623961370735
2,1,0,0.512380731246
5,1,0,0.758007009163
5,0,0,0.190262240494
2,1,0,0.630171354313
5,0,0,0.433605926024
3,0,0,0.497029105548
5,1,0,0.626780016645
5,0,0,0.111727272136
1,1,0,0.998186366889
1,1,0,0.965395744923
5,1,0,0.624022244361
5,1,0,0.797089709142
5,0,0,0.235583438294
3,0,0,0.0337558933779
5,0,0,0.438260917706
2,1,0,0.882962618173
3,1,0,0.762242012785
4,1,0,0.912860014982
3,1,0,0.903486047114
2,1,0,0.66513927506
1,0,0,0.290485841163
1,0,0,0.422000034492
5,1,0,0.913432769713
4,1,0,0.609552197839
4,1,0,0.609552197839
3,1,0,0.801754210604
3,1,0,0.801754210604
5,0,0,0.319984902301
1,0,0,0.20876535581
5,0,0,0.0901452092474
4,0,0,0.175456149635
3,0,0,0.273871993963
2,0,0,0.0546882102716
5,0,0,0.0389961902905
1,0,0,0.112785587292
3,1,0,0.95644740567
1,1,0,0.805622608637
4,1,0,0.730958351565
1,1,0,0.930844130303
3,1,0,0.844519878871
3,1,0,0.883272460122
1,0,0,0.0339262593914
1,0,0,0.0460661746259
3,1,0,0.713709992411
3,1,0,0.607975310975
3,1,0,0.73651179568
1,1,0,0.788894599434
2,1,0,0.808026564574
3,0,0,0.186251363385
3,0,0,0.22857340582
2,0,0,0.177152572029
4,0,0,0.334360967674
3,0,0,0.425814174722
5,0,0,0.184988586988
4,0,0,0.275129014215
3,0,0,0.0109819953493
1,0,0,0.0120222588261
2,0,0,0.0186011195788
4,0,0,0.0312499523746
2,1,0,0.545873262313
3,0,0,0.116483410481
5,0,0,0.295748207454
5,0,0,0.215929571363
3,0,0,0.288188239517
5,1,0,0.734064732526
5,0,0,0.445113244987
5,1,0,0.598216605892
4,1,0,0.650125669002
3,1,0,0.677274300919
4,1,0,0.687122480598
5,1,0,0.718527181353
4,1,0,0.9129273201
2,1,0,0.928932220098
5,1,0,0.948004150516
4,1,0,0.933041755655
4,1,0,0.932436754966
1,1,0,0.75177437142
2,0,0,0.464527357454
3,1,0,0.658722143987
3,1,0,0.658722143987
2,0,0,0.403823115949
1,0,0,0.458332526823
2,0,0,0.424454172737
2,0,0,0.424454172737
2,0,0,0.414294477583
5,1,0,0.589071779481
5,1,0,0.852508204405
2,1,0,0.733047304782
4,0,0,0.0514720303053
4,0,0,0.148133856004
2,1,1,0.502012456826
5,1,1,0.969952279334
4,1,1,0.568534824787
3,1,1,0.971418819655
3,1,1,0.947653817957
5,1,1,0.86639760157
3,1,1,0.861692480016
2,1,1,0.950986290625
5,1,1,0.950370972339
3,1,1,0.804893956354
5,1,1,0.858672416759
3,1,1,0.916245457702
4,1,1,0.888669842896
4,1,1,0.888669842896
5,1,1,0.947386356157
2,1,1,0.980891288217
4,1,1,0.953407740719
4,1,1,0.953407740719
1,1,1,0.94481188679
1,1,1,0.966916636251
1,1,1,0.940385134181
5,1,1,0.980845447682
1,1,1,0.990178874381
5,1,1,0.956553631166
5,1,1,0.987163133612
2,1,1,0.931671555444
5,1,1,0.974083506822
2,1,1,0.977905211412
1,1,1,0.944531276453
4,1,1,0.986218410688
5,1,1,0.985463235726
5,1,1,0.992179785388
