FoldNumber,PredictedOutput,ActualOutput,Confidence
2,1,0,0.935675718498
10,0,0,0.132658750998
12,1,0,0.999991348733
13,1,0,0.670977200211
11,0,0,0.493666385632
15,0,0,0.0309455005825
10,0,0,0.25035845637
15,1,0,0.99992480775
3,1,0,0.948566819015
14,0,0,0.3074804536
4,0,0,0.0079442535638
6,0,0,0.101768262559
15,0,0,0.0399403246462
15,0,0,0.00210859535377
3,0,0,0.28124995813
10,0,0,0.0766002767714
6,0,0,0.348390868846
9,1,0,0.655226087066
4,0,0,0.00316397133241
7,1,0,0.99996615276
2,1,0,0.997294763229
13,1,0,0.619617352855
1,0,0,0.18752546395
9,0,0,0.0592472254009
14,0,0,0.00167856304593
1,0,0,0.324660150722
6,1,0,0.851900612744
11,0,0,0.255769486966
14,1,0,0.746147597926
9,0,0,0.234564599293
13,0,0,0.0856631532868
8,0,0,0.0185108094975
14,0,0,0.154786270692
2,1,0,0.930682819261
14,0,0,0.243516596724
4,1,0,0.743079918176
7,0,0,0.149162496806
15,0,0,0.00620656658154
6,0,0,0.001454561931
5,0,0,0.0260201832417
7,0,0,0.0655746892437
14,0,0,0.00101111284016
5,0,0,0.000253199469461
1,0,0,0.00417187148244
10,1,0,0.864321631132
5,1,0,0.631355103004
13,1,0,0.544561108961
13,1,0,0.544561108961
6,1,0,0.75492859746
5,0,0,0.186171786355
1,1,0,0.521635149361
7,0,0,0.00178958402151
2,0,0,0.000920987133969
15,0,0,0.225729021641
9,0,0,0.181098809776
10,1,0,0.556796571666
6,1,0,0.621226387824
12,0,0,0.377344856599
9,0,0,0.0149011833152
15,0,0,0.00983727600261
1,0,0,0.00237009393467
7,0,0,0.0165202643581
4,0,0,0.0385702343199
10,0,0,0.0148686007407
15,0,0,0.0580811066616
12,0,0,0.000236337312621
15,0,0,0.000240255998313
5,0,0,0.000901139369272
14,0,0,0.002581863538
3,0,0,0.491260957876
14,0,0,0.000806620254395
11,0,0,0.0106381074688
11,0,0,0.0106381074688
7,0,0,0.00307555732922
8,0,0,0.00615093982451
10,1,0,0.660260538994
1,0,0,0.0254785772258
13,0,0,0.19048270298
6,0,0,0.162981011916
7,0,0,0.140023378984
11,0,0,0.0888598592559
6,0,0,0.324003156912
9,1,0,0.688659508636
15,1,0,0.537831951396
9,1,0,0.634268320589
15,1,0,0.724610515425
7,1,0,0.868986397523
10,0,0,0.0972728633667
5,0,0,0.0196153625307
8,0,0,0.128209650474
1,0,0,0.017341586699
2,0,0,0.0167008717721
8,0,0,0.179416038735
2,0,0,0.041195399367
12,1,0,0.611385512018
3,1,0,0.859613687735
4,1,0,0.809570303544
6,0,0,0.0112070908939
10,0,0,0.0411508278546
14,1,1,0.732914814824
15,1,1,0.999903433063
15,1,1,0.882017022717
9,1,1,0.997004153086
15,1,1,0.873629934074
12,1,1,0.975686020109
3,1,1,0.928099409531
12,1,1,0.991420427893
5,1,1,0.99220065663
9,1,1,0.873033324178
3,1,1,0.933481704679
5,1,1,0.956329665758
11,1,1,0.874463625406
15,1,1,0.959878036651
8,1,1,0.999361755576
13,1,1,0.976372275567
1,1,1,0.964926024068
15,1,1,0.961103286096
15,1,1,0.976012636838
8,1,1,0.980073844738
3,1,1,0.999188713049
12,1,1,0.901296147443
11,1,1,0.99651125719
4,1,1,0.919113577466
8,1,1,0.982939218734
13,1,1,0.964135375294
12,1,1,0.866450910738
15,1,1,0.997251601518
5,1,1,0.98555870642
4,1,1,0.99421287384
5,1,1,0.965015752073
4,1,1,0.947544516993
12,1,1,0.999484726464
15,1,1,0.997820642693
10,1,1,0.9983486519
7,1,1,0.995907114903
11,1,1,0.999917241345
3,1,1,0.9990468069
4,1,1,0.996052513057
10,1,1,0.999924972777
8,1,1,0.999981700092
15,1,1,0.959369379596
3,1,1,0.997948059514
11,1,1,0.99999125712
2,1,1,0.999991579135
6,1,1,0.999978533002
6,1,1,0.999882509246
11,1,1,0.999315993531
9,1,1,0.99566647795
3,1,1,0.999979852631
15,1,1,0.999998236343
13,1,1,0.987239364974
13,1,1,0.998380786896
9,1,1,0.845589031269
11,1,1,0.868647305814
4,1,1,0.997981794797
12,1,1,0.939369250195
6,1,1,0.899103064165
15,1,1,0.799841119879
13,1,1,0.998549999753
2,1,1,0.991084547654
7,1,1,0.982861418596
12,1,1,0.949966728357
2,1,1,0.981502617168
12,1,1,0.996805518908
8,1,1,0.996830904007
3,1,1,0.978511763277
2,1,1,0.997367131639
14,1,1,0.930048131768
15,1,1,0.994679365638
13,1,1,0.879992347512
3,1,1,0.846458845029
1,1,1,0.921830917169
5,1,1,0.942116687397
7,1,1,0.999968202302
5,1,1,0.997935088069
15,1,1,0.968132123631
7,1,1,0.999990384497
10,1,1,0.999939984377
12,1,1,0.999940222101
10,1,1,0.880878997667
1,0,1,0.415102542353
5,1,1,0.981437969121
15,1,1,0.999998427486
11,1,1,0.999997478176
8,1,1,0.999990960188
1,1,1,0.999994138123
14,1,1,0.999999592258
1,1,1,0.999997909319
4,1,1,0.999994048852
6,1,1,0.998305213089
4,1,1,0.980219114178
8,1,1,0.856524187004
3,1,1,0.898110189683
1,1,1,0.839034599616
13,1,1,0.911466098302
2,1,1,0.872495031038
9,1,1,0.966593750179
2,1,1,0.999351416353
15,1,1,0.999445192377
2,1,1,0.99774486206
14,1,1,0.999388080066
8,1,1,0.99428762052
11,1,1,0.999700237471
15,1,1,0.999398433838
8,1,1,0.997911609862
15,1,1,0.988836364499
14,1,1,0.978925761665
7,1,1,0.889393533308
9,1,1,0.982450396416
4,1,1,0.877890975286
